"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"A1","Arduino_Leonardo","Module:Arduino_UNO_R3","https://www.arduino.cc/en/Main/ArduinoBoardLeonardo","1","","",""
"C1,C2","1000uF","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","~","2","DNP","",""
"C3,C4,C5,C6","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","4","","",""
"C7,C9","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","2","","",""
"C8",".01uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1","","",""
"C10",".1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1","","",""
"C11,C12,C13,C14","2200 uF","PCM_Capacitor_THT_AKL:CP_Radial_D18.0mm_P7.50mm","~","4","DNP","","Excluded from board"
"C15",".1uF","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","1","","",""
"C16",".33uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","1","","",""
"C17,C18","1 uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","2","","",""
"C19,C20","33 uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","2","","",""
"D1,D2","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","2","","",""
"D3,D4,D5","LED_Series","","~","3","","",""
"D6","LED","","~","1","","",""
"D7","KBU8J","Diode_THT:Diode_Bridge_Vishay_KBU","http://www.vishay.com/docs/88656/kbu8.pdf","1","DNP","","Excluded from board"
"D8","D_Schottky_Generic","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","1","","",""
"HS1,HS2,HS3,HS4","HSE-B250-04H","SV LIB:HSINK_HSE-B250-04H","","4","","",""
"HS5,HS6,HS7,HS8","Heatsink","SV LIB:Heatsink Amazon","~","4","","",""
"J1","Power Out","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal","","1","","",""
"J2","Power In","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal","","1","","",""
"J3","IEC_60320_C14_Receptacle","","~","1","DNP","","Excluded from board"
"K1,K2","Relay_SPDT","Amazon JQC-3F(T73) Relay:JQC-3F(T73)","~","2","","",""
"M1","Fan","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","","",""
"Q1,Q2","2N2222","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","2","","",""
"Q3","MMBT2222A","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/MMBT2222A.pdf","1","","",""
"Q4","TP0610T","PCM_Package_TO_SOT_SMD_AKL:SOT-23","https://www.tme.eu/Document/d4a061ae54c5f5fc4b4dad15f68d526c/TP0610T-G.pdf","1","","",""
"R1,R2","4.99K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","2","","",""
"R3,R5","1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","2","","",""
"R4,R8,R11,R13,R35","10K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","5","","",""
"R6,R7,R23,R24","10m","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","4","","",""
"R9","2K2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"R10,R12","1K","PCM_Resistor_SMD_AKL:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","2","","",""
"R14,R15,R20","10K","PCM_Resistor_SMD_AKL:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","3","","",""
"R16","237K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
